Region,Year,MenB,MenC,Known serogroup,Total cases,Pop,MenB per 100000,MenC per 100000,Known serogroup per 100000,Total cases per 100000
Toscana,2014,9,2,15,16,3744293.0,0.24036580470598856,0.05341462326799745,0.4006096745099809,0.4273169861439796
Toscana,2015,5,6,12,13,3739044.0,0.13372402143435594,0.16046882572122712,0.32093765144245423,0.3476824557293253
Toscana,2016,8,6,16,17,3726422.0,0.21468314646059947,0.1610123598454497,0.429366292921199,0.4562016862287739
Toscana,2017,5,9,17,17,3721391.0,0.13435836223605635,0.24184505202490145,0.45681843160259156,0.45681843160259156
Toscana,2018,8,7,16,17,3712048.0,0.21551445455446697,0.1885751477351586,0.43102890910893393,0.45796821592824233
Toscana,2019,9,7,18,18,3701343.0,0.2431549845556059,0.18912054354324903,0.4863099691112118,0.4863099691112118
Toscana,2020,2,1,3,3,3692555.0,0.05416303887145892,0.02708151943572946,0.08124455830718838,0.08124455830718838
Toscana,2021,0,0,0,0,3692865.0,0.0,0.0,0.0,0.0
Toscana,2022,1,1,2,2,3663191.0,0.027298603867502404,0.027298603867502404,0.05459720773500481,0.05459720773500481
Toscana,2023,7,0,7,7,3661981.0,0.19115336753522205,0.0,0.19115336753522205,0.19115336753522205
Trentino-Alto Adige,2014,2,2,5,5,1052202.0,0.19007757065658495,0.19007757065658495,0.47519392664146237,0.47519392664146237
Trentino-Alto Adige,2015,7,0,8,8,1056182.0,0.6627645614108175,0.0,0.7574452130409343,0.7574452130409343
Trentino-Alto Adige,2016,0,1,2,2,1059765.0,0.0,0.09436054219567545,0.1887210843913509,0.1887210843913509
Trentino-Alto Adige,2017,2,1,5,5,1063734.0,0.18801692904429115,0.09400846452214558,0.47004232261072787,0.47004232261072787
Trentino-Alto Adige,2018,1,0,4,4,1068738.0,0.09356830205344994,0.0,0.3742732082137998,0.3742732082137998
Trentino-Alto Adige,2019,3,1,4,4,1074034.0,0.2793207663816974,0.09310692212723247,0.3724276885089299,0.3724276885089299
Trentino-Alto Adige,2020,1,1,2,3,1078069.0,0.09275844125004985,0.09275844125004985,0.1855168825000997,0.2782753237501496
Trentino-Alto Adige,2021,0,0,0,0,1077078.0,0.0,0.0,0.0,0.0
Trentino-Alto Adige,2022,2,0,2,2,1073574.0,0.18629363229735443,0.0,0.18629363229735443,0.18629363229735443
Trentino-Alto Adige,2023,1,0,2,3,1077143.0,0.09283818397371565,0.0,0.1856763679474313,0.278514551921147
Umbria,2014,0,1,1,1,892099.0,0.0,0.1120951822611616,0.1120951822611616,0.1120951822611616
Umbria,2015,1,3,4,4,888288.0,0.11257610144457654,0.3377283043337296,0.45030440577830616,0.45030440577830616
Umbria,2016,0,0,0,0,884092.0,0.0,0.0,0.0,0.0
Umbria,2017,2,2,4,4,880992.0,0.2270168174058334,0.2270168174058334,0.4540336348116668,0.4540336348116668
Umbria,2018,3,1,6,6,876477.0,0.3422793752716843,0.11409312509056142,0.6845587505433686,0.6845587505433686
Umbria,2019,2,0,2,3,873744.0,0.22889999816880002,0.0,0.22889999816880002,0.34334999725320003
Umbria,2020,1,0,1,1,870165.0,0.11492073342412071,0.0,0.11492073342412071,0.11492073342412071
Umbria,2021,1,0,1,2,865452.0,0.11554655833021357,0.0,0.11554655833021357,0.23109311666042714
Umbria,2022,0,0,0,0,858812.0,0.0,0.0,0.0,0.0
Umbria,2023,0,0,1,1,856407.0,0.0,0.0,0.11676691105981152,0.11676691105981152
Valle d'Aosta,2014,1,0,1,1,128245.0,0.7797574954189248,0.0,0.7797574954189248,0.7797574954189248
Valle d'Aosta,2015,1,0,1,2,127972.0,0.7814209358297127,0.0,0.7814209358297127,1.5628418716594255
Valle d'Aosta,2016,0,0,0,1,127030.0,0.0,0.0,0.0,0.7872156183578682
Valle d'Aosta,2017,0,0,0,0,126677.0,0.0,0.0,0.0,0.0
Valle d'Aosta,2018,0,0,0,0,126213.0,0.0,0.0,0.0,0.0
Valle d'Aosta,2019,0,0,0,0,125653.0,0.0,0.0,0.0,0.0
Valle d'Aosta,2020,0,0,0,0,125034.0,0.0,0.0,0.0,0.0
Valle d'Aosta,2021,0,0,0,0,124089.0,0.0,0.0,0.0,0.0
Valle d'Aosta,2022,0,0,0,0,123360.0,0.0,0.0,0.0,0.0
Valle d'Aosta,2023,0,0,0,0,123130.0,0.0,0.0,0.0,0.0
Veneto,2014,10,3,13,15,4905712.0,0.20384400877996914,0.061153202633990746,0.2649972114139599,0.3057660131699537
Veneto,2015,3,1,8,12,4902694.0,0.06119084731782159,0.02039694910594053,0.16317559284752425,0.24476338927128635
Veneto,2016,5,2,11,12,4890648.0,0.10223594092234811,0.04089437636893925,0.22491907002916586,0.24536625821363547
Veneto,2017,6,4,15,18,4883373.0,0.12286589617463177,0.0819105974497545,0.3071647404365794,0.36859768852389524
Veneto,2018,5,4,10,13,4880936.0,0.10243936818675761,0.08195149454940609,0.20487873637351522,0.2663423572855698
Veneto,2019,3,0,6,11,4884590.0,0.061417642012942746,0.0,0.12283528402588549,0.2251980207141234
Veneto,2020,1,0,1,6,4879133.0,0.020495444580010423,0.0,0.020495444580010423,0.12297266748006255
Veneto,2021,0,0,0,1,4869830.0,0.0,0.0,0.0,0.020534597716963428
Veneto,2022,6,0,6,8,4847745.0,0.12376888635850276,0.0,0.12376888635850276,0.16502518181133702
Veneto,2023,5,0,8,8,4849553.0,0.10310228592202209,0.0,0.16496365747523534,0.16496365747523534
Italia,2014,55,36,115,165,60345917.0,0.09114121175754111,0.05965606587766327,0.19056798822031323,0.27342363527262337
Italia,2015,49,38,118,164,60295497.0,0.0812664335447803,0.063022948463299,0.19570283996498114,0.2719937775784484
Italia,2016,68,58,166,203,60163712.0,0.11302494101427785,0.09640362615923699,0.27591382659367825,0.33741269155732945
Italia,2017,74,58,180,197,60066734.0,0.12319631029048457,0.09655927022767712,0.2996667007065841,0.32796855577331707
Italia,2018,71,33,147,160,59937769.0,0.11845619412360843,0.05505710431097294,0.24525437374887943,0.2669435360532021
Italia,2019,82,38,154,182,59816673.0,0.13708552463290627,0.06352743824451754,0.2574533023593606,0.3042629936974261
Italia,2020,34,11,51,74,59641488.0,0.057007296665703575,0.01844353715655116,0.08551094499855537,0.12407470450770777
Italia,2021,12,2,18,26,59236213.0,0.02025787840286144,0.003376313067143573,0.030386817604292158,0.04389206987286645
Italia,2022,35,4,44,57,59030133.0,0.059291751892207326,0.0067762002162522665,0.07453820237877493,0.09656085308159479
Italia,2023,57,5,77,85,58997201.0,0.09661475296090742,0.008474978329904159,0.13051466628052405,0.1440746316083707
